Module	Stage	Year	contrast	estimate	SE	df	t.ratio	p.value	CI_low_unadjusted	CI_high_unadjusted	FDR_global_90	FDR_within_stage_year_10	FDR_within_module_9
M9	Harvest	2014	Cabernet Sauvignon - Pinot noir	3.12535134939465	3.68541955831106	36	0.848031357066691	0.402023882504065	-4.34902594791203	10.5997286467013	0.588833366464882	0.45071195951633	0.992916053047995
M10	FruitSet	2012	Cabernet Sauvignon - Pinot noir	-0.285071443205743	0.606873331201648	36	-0.469737964331507	0.641375246198801	-1.51586760557083	0.945724719159343	0.824625316541316	0.901901858377457	0.721547151973652
M10	Veraison	2012	Cabernet Sauvignon - Pinot noir	-2.42197619633465	0.606873331201648	36	-3.99090892911538	0.000309588902651323	-3.65277235869974	-1.19118003396957	0.0012114348364617	0.00103196300883774	0.000928766707953969
M10	Harvest	2012	Cabernet Sauvignon - Pinot noir	-4.83992596525274	0.606873331201648	36	-7.97518315011367	1.80473140715369e-09	-6.07072212761782	-3.60912980288765	1.08283884429221e-08	6.01577135717896e-09	1.62425826643832e-08
M10	FruitSet	2013	Cabernet Sauvignon - Pinot noir	0.694074980720242	0.606873331201648	36	1.14369003387565	0.260300485285577	-0.536721181644843	1.92487114308533	0.433834142142628	0.289222761428419	0.334672052510027
M10	Veraison	2013	Cabernet Sauvignon - Pinot noir	-1.93498019975553	0.606873331201648	36	-3.18844164057126	0.00295783308168939	-3.16577636212061	-0.704184037390442	0.00887349924506816	0.00591566616337877	0.00443674962253408
M10	Harvest	2013	Cabernet Sauvignon - Pinot noir	-3.15323785467163	0.606873331201648	36	-5.19587481036284	8.24713950343479e-06	-4.38403401703671	-1.92244169230654	3.9065397647849e-05	2.0617848758587e-05	3.71121277654566e-05
M10	FruitSet	2014	Cabernet Sauvignon - Pinot noir	-0.126147174765108	0.606873331201648	36	-0.20786409334437	0.836506570339811	-1.35694333713019	1.10464898759998	0.961956821704832	0.989629921095773	0.836506570339811
M10	Veraison	2014	Cabernet Sauvignon - Pinot noir	-2.02691688901621	0.606873331201648	36	-3.33993402709389	0.00196034492422426	-3.25771305138129	-0.796120726651122	0.00630110868500656	0.00490086231056066	0.00352862086360367
M10	Harvest	2014	Cabernet Sauvignon - Pinot noir	-2.0739480820373	0.606873331201648	36	-3.41743157164403	0.00158364624226058	-3.30474424440238	-0.843151919672211	0.00548185237705586	0.00395911560565146	0.00352862086360367
